"label","n","parent","id"
"Costa Rica",2,"total  -  History","total  -  History  -  Costa Rica"
"Costa Rica",29,"total  -  Horror","total  -  Horror  -  Costa Rica"
"Costa Rica",31,"total  -  Music","total  -  Music  -  Costa Rica"
"Costa Rica",1,"total  -  Musical","total  -  Musical  -  Costa Rica"
"Costa Rica",38,"total  -  Mystery","total  -  Mystery  -  Costa Rica"
"Costa Rica",4,"total  -  Reality TV","total  -  Reality TV  -  Costa Rica"
"Costa Rica",132,"total  -  Romance","total  -  Romance  -  Costa Rica"
"Costa Rica",14,"total  -  Sci Fi","total  -  Sci Fi  -  Costa Rica"
"Costa Rica",5,"total  -  Sport","total  -  Sport  -  Costa Rica"
"Costa Rica",76,"total  -  Thriller","total  -  Thriller  -  Costa Rica"
"Costa Rica",2,"total  -  War","total  -  War  -  Costa Rica"
"Costa Rica",5,"total  -  Western","total  -  Western  -  Costa Rica"
"Croatia",171,"total  -  Action","total  -  Action  -  Croatia"
"Croatia",115,"total  -  Adventure","total  -  Adventure  -  Croatia"
"Croatia",53,"total  -  Animation","total  -  Animation  -  Croatia"
"Croatia",11,"total  -  Biography","total  -  Biography  -  Croatia"
"Croatia",199,"total  -  Comedy","total  -  Comedy  -  Croatia"
"Croatia",128,"total  -  Crime","total  -  Crime  -  Croatia"
"Croatia",20,"total  -  Documentary","total  -  Documentary  -  Croatia"
"Croatia",302,"total  -  Drama","total  -  Drama  -  Croatia"
"Croatia",27,"total  -  Family","total  -  Family  -  Croatia"
"Croatia",39,"total  -  Fantasy","total  -  Fantasy  -  Croatia"
"Croatia",11,"total  -  Game Show","total  -  Game Show  -  Croatia"
"Croatia",5,"total  -  History","total  -  History  -  Croatia"
"Croatia",26,"total  -  Horror","total  -  Horror  -  Croatia"
"Croatia",3,"total  -  Music","total  -  Music  -  Croatia"
"Croatia",1,"total  -  Musical","total  -  Musical  -  Croatia"
"Croatia",43,"total  -  Mystery","total  -  Mystery  -  Croatia"
"Croatia",14,"total  -  Reality TV","total  -  Reality TV  -  Croatia"
"Croatia",96,"total  -  Romance","total  -  Romance  -  Croatia"
"Croatia",15,"total  -  Sci Fi","total  -  Sci Fi  -  Croatia"
"Croatia",11,"total  -  Sport","total  -  Sport  -  Croatia"
"Croatia",66,"total  -  Thriller","total  -  Thriller  -  Croatia"
"Croatia",4,"total  -  War","total  -  War  -  Croatia"
"Croatia",13,"total  -  Western","total  -  Western  -  Croatia"
"Cyprus",195,"total  -  Action","total  -  Action  -  Cyprus"
"Cyprus",126,"total  -  Adventure","total  -  Adventure  -  Cyprus"
"Cyprus",47,"total  -  Animation","total  -  Animation  -  Cyprus"
"Cyprus",12,"total  -  Biography","total  -  Biography  -  Cyprus"
"Cyprus",190,"total  -  Comedy","total  -  Comedy  -  Cyprus"
"Cyprus",131,"total  -  Crime","total  -  Crime  -  Cyprus"
"Cyprus",13,"total  -  Documentary","total  -  Documentary  -  Cyprus"
"Cyprus",340,"total  -  Drama","total  -  Drama  -  Cyprus"
"Cyprus",30,"total  -  Family","total  -  Family  -  Cyprus"
"Cyprus",44,"total  -  Fantasy","total  -  Fantasy  -  Cyprus"
"Cyprus",8,"total  -  Game Show","total  -  Game Show  -  Cyprus"
"Cyprus",2,"total  -  History","total  -  History  -  Cyprus"
"Cyprus",24,"total  -  Horror","total  -  Horror  -  Cyprus"
"Cyprus",2,"total  -  Music","total  -  Music  -  Cyprus"
"Cyprus",1,"total  -  Musical","total  -  Musical  -  Cyprus"
"Cyprus",49,"total  -  Mystery","total  -  Mystery  -  Cyprus"
"Cyprus",12,"total  -  Reality TV","total  -  Reality TV  -  Cyprus"
"Cyprus",91,"total  -  Romance","total  -  Romance  -  Cyprus"
"Cyprus",41,"total  -  Sci Fi","total  -  Sci Fi  -  Cyprus"
"Cyprus",6,"total  -  Sport","total  -  Sport  -  Cyprus"
"Cyprus",59,"total  -  Thriller","total  -  Thriller  -  Cyprus"
"Cyprus",5,"total  -  War","total  -  War  -  Cyprus"
"Cyprus",7,"total  -  Western","total  -  Western  -  Cyprus"
"Czech Republic",191,"total  -  Action","total  -  Action  -  Czech Republic"
"Czech Republic",150,"total  -  Adventure","total  -  Adventure  -  Czech Republic"
"Czech Republic",83,"total  -  Animation","total  -  Animation  -  Czech Republic"
"Czech Republic",16,"total  -  Biography","total  -  Biography  -  Czech Republic"
"Czech Republic",188,"total  -  Comedy","total  -  Comedy  -  Czech Republic"
"Czech Republic",128,"total  -  Crime","total  -  Crime  -  Czech Republic"
"Czech Republic",28,"total  -  Documentary","total  -  Documentary  -  Czech Republic"
"Czech Republic",300,"total  -  Drama","total  -  Drama  -  Czech Republic"
"Czech Republic",27,"total  -  Family","total  -  Family  -  Czech Republic"
"Czech Republic",60,"total  -  Fantasy","total  -  Fantasy  -  Czech Republic"
"Czech Republic",12,"total  -  Game Show","total  -  Game Show  -  Czech Republic"
"Czech Republic",5,"total  -  History","total  -  History  -  Czech Republic"
"Czech Republic",34,"total  -  Horror","total  -  Horror  -  Czech Republic"
"Czech Republic",2,"total  -  Music","total  -  Music  -  Czech Republic"
"Czech Republic",50,"total  -  Mystery","total  -  Mystery  -  Czech Republic"
"Czech Republic",16,"total  -  Reality TV","total  -  Reality TV  -  Czech Republic"
"Czech Republic",81,"total  -  Romance","total  -  Romance  -  Czech Republic"
"Czech Republic",12,"total  -  Sci Fi","total  -  Sci Fi  -  Czech Republic"
"Czech Republic",9,"total  -  Sport","total  -  Sport  -  Czech Republic"
"Czech Republic",48,"total  -  Thriller","total  -  Thriller  -  Czech Republic"
