"parents","n","labels","id"
"Croatia",15,"Sci Fi","Croatia  -  Sci Fi"
"Croatia",11,"Sport","Croatia  -  Sport"
"Croatia",66,"Thriller","Croatia  -  Thriller"
"Croatia",4,"War","Croatia  -  War"
"Croatia",13,"Western","Croatia  -  Western"
"Cyprus",195,"Action","Cyprus  -  Action"
"Cyprus",126,"Adventure","Cyprus  -  Adventure"
"Cyprus",47,"Animation","Cyprus  -  Animation"
"Cyprus",12,"Biography","Cyprus  -  Biography"
"Cyprus",190,"Comedy","Cyprus  -  Comedy"
"Cyprus",131,"Crime","Cyprus  -  Crime"
"Cyprus",13,"Documentary","Cyprus  -  Documentary"
"Cyprus",340,"Drama","Cyprus  -  Drama"
"Cyprus",30,"Family","Cyprus  -  Family"
"Cyprus",44,"Fantasy","Cyprus  -  Fantasy"
"Cyprus",8,"Game Show","Cyprus  -  Game Show"
"Cyprus",2,"History","Cyprus  -  History"
"Cyprus",24,"Horror","Cyprus  -  Horror"
"Cyprus",2,"Music","Cyprus  -  Music"
"Cyprus",1,"Musical","Cyprus  -  Musical"
"Cyprus",49,"Mystery","Cyprus  -  Mystery"
"Cyprus",12,"Reality TV","Cyprus  -  Reality TV"
"Cyprus",91,"Romance","Cyprus  -  Romance"
"Cyprus",41,"Sci Fi","Cyprus  -  Sci Fi"
"Cyprus",6,"Sport","Cyprus  -  Sport"
"Cyprus",59,"Thriller","Cyprus  -  Thriller"
"Cyprus",5,"War","Cyprus  -  War"
"Cyprus",7,"Western","Cyprus  -  Western"
"Czech Republic",191,"Action","Czech Republic  -  Action"
"Czech Republic",150,"Adventure","Czech Republic  -  Adventure"
"Czech Republic",83,"Animation","Czech Republic  -  Animation"
"Czech Republic",16,"Biography","Czech Republic  -  Biography"
"Czech Republic",188,"Comedy","Czech Republic  -  Comedy"
"Czech Republic",128,"Crime","Czech Republic  -  Crime"
"Czech Republic",28,"Documentary","Czech Republic  -  Documentary"
"Czech Republic",300,"Drama","Czech Republic  -  Drama"
"Czech Republic",27,"Family","Czech Republic  -  Family"
"Czech Republic",60,"Fantasy","Czech Republic  -  Fantasy"
"Czech Republic",12,"Game Show","Czech Republic  -  Game Show"
"Czech Republic",5,"History","Czech Republic  -  History"
"Czech Republic",34,"Horror","Czech Republic  -  Horror"
"Czech Republic",2,"Music","Czech Republic  -  Music"
"Czech Republic",50,"Mystery","Czech Republic  -  Mystery"
"Czech Republic",16,"Reality TV","Czech Republic  -  Reality TV"
"Czech Republic",81,"Romance","Czech Republic  -  Romance"
"Czech Republic",12,"Sci Fi","Czech Republic  -  Sci Fi"
"Czech Republic",9,"Sport","Czech Republic  -  Sport"
"Czech Republic",48,"Thriller","Czech Republic  -  Thriller"
"Czech Republic",3,"War","Czech Republic  -  War"
"Czech Republic",8,"Western","Czech Republic  -  Western"
"Denmark",183,"Action","Denmark  -  Action"
"Denmark",1,"Adult","Denmark  -  Adult"
"Denmark",121,"Adventure","Denmark  -  Adventure"
"Denmark",56,"Animation","Denmark  -  Animation"
"Denmark",18,"Biography","Denmark  -  Biography"
"Denmark",179,"Comedy","Denmark  -  Comedy"
"Denmark",154,"Crime","Denmark  -  Crime"
"Denmark",21,"Documentary","Denmark  -  Documentary"
"Denmark",318,"Drama","Denmark  -  Drama"
"Denmark",26,"Family","Denmark  -  Family"
"Denmark",54,"Fantasy","Denmark  -  Fantasy"
"Denmark",10,"Game Show","Denmark  -  Game Show"
"Denmark",4,"History","Denmark  -  History"
"Denmark",26,"Horror","Denmark  -  Horror"
"Denmark",3,"Music","Denmark  -  Music"
"Denmark",1,"Musical","Denmark  -  Musical"
"Denmark",54,"Mystery","Denmark  -  Mystery"
"Denmark",21,"Reality TV","Denmark  -  Reality TV"
"Denmark",79,"Romance","Denmark  -  Romance"
"Denmark",23,"Sci Fi","Denmark  -  Sci Fi"
"Denmark",10,"Sport","Denmark  -  Sport"
"Denmark",2,"Talk Show","Denmark  -  Talk Show"
"Denmark",65,"Thriller","Denmark  -  Thriller"
"Denmark",11,"War","Denmark  -  War"
"Denmark",13,"Western","Denmark  -  Western"
"Dominican Republic",173,"Action","Dominican Republic  -  Action"
"Dominican Republic",1,"Adult","Dominican Republic  -  Adult"
"Dominican Republic",108,"Adventure","Dominican Republic  -  Adventure"
"Dominican Republic",51,"Animation","Dominican Republic  -  Animation"
"Dominican Republic",6,"Biography","Dominican Republic  -  Biography"
"Dominican Republic",157,"Comedy","Dominican Republic  -  Comedy"
"Dominican Republic",123,"Crime","Dominican Republic  -  Crime"
"Dominican Republic",11,"Documentary","Dominican Republic  -  Documentary"
"Dominican Republic",277,"Drama","Dominican Republic  -  Drama"
"Dominican Republic",18,"Family","Dominican Republic  -  Family"
"Dominican Republic",45,"Fantasy","Dominican Republic  -  Fantasy"
"Dominican Republic",2,"Game Show","Dominican Republic  -  Game Show"
"Dominican Republic",2,"History","Dominican Republic  -  History"
"Dominican Republic",28,"Horror","Dominican Republic  -  Horror"
"Dominican Republic",31,"Music","Dominican Republic  -  Music"
"Dominican Republic",3,"Musical","Dominican Republic  -  Musical"
"Dominican Republic",38,"Mystery","Dominican Republic  -  Mystery"
"Dominican Republic",3,"Reality TV","Dominican Republic  -  Reality TV"
"Dominican Republic",79,"Romance","Dominican Republic  -  Romance"
"Dominican Republic",20,"Sci Fi","Dominican Republic  -  Sci Fi"
"Dominican Republic",4,"Sport","Dominican Republic  -  Sport"
"Dominican Republic",76,"Thriller","Dominican Republic  -  Thriller"
"Dominican Republic",4,"War","Dominican Republic  -  War"
"Dominican Republic",6,"Western","Dominican Republic  -  Western"
"Ecuador",145,"Action","Ecuador  -  Action"
"Ecuador",1,"Adult","Ecuador  -  Adult"
"Ecuador",120,"Adventure","Ecuador  -  Adventure"
"Ecuador",70,"Animation","Ecuador  -  Animation"
"Ecuador",3,"Biography","Ecuador  -  Biography"
"Ecuador",206,"Comedy","Ecuador  -  Comedy"
"Ecuador",91,"Crime","Ecuador  -  Crime"
"Ecuador",9,"Documentary","Ecuador  -  Documentary"
"Ecuador",262,"Drama","Ecuador  -  Drama"
"Ecuador",15,"Family","Ecuador  -  Family"
"Ecuador",38,"Fantasy","Ecuador  -  Fantasy"
"Ecuador",1,"History","Ecuador  -  History"
"Ecuador",25,"Horror","Ecuador  -  Horror"
"Ecuador",30,"Music","Ecuador  -  Music"
"Ecuador",1,"Musical","Ecuador  -  Musical"
"Ecuador",35,"Mystery","Ecuador  -  Mystery"
"Ecuador",3,"Reality TV","Ecuador  -  Reality TV"
"Ecuador",105,"Romance","Ecuador  -  Romance"
"Ecuador",19,"Sci Fi","Ecuador  -  Sci Fi"
"Ecuador",3,"Sport","Ecuador  -  Sport"
"Ecuador",71,"Thriller","Ecuador  -  Thriller"
"Ecuador",2,"War","Ecuador  -  War"
"Ecuador",3,"Western","Ecuador  -  Western"
"Egypt",189,"Action","Egypt  -  Action"
"Egypt",112,"Adventure","Egypt  -  Adventure"
"Egypt",32,"Animation","Egypt  -  Animation"
"Egypt",15,"Biography","Egypt  -  Biography"
"Egypt",186,"Comedy","Egypt  -  Comedy"
"Egypt",121,"Crime","Egypt  -  Crime"
"Egypt",9,"Documentary","Egypt  -  Documentary"
"Egypt",342,"Drama","Egypt  -  Drama"
"Egypt",18,"Family","Egypt  -  Family"
"Egypt",51,"Fantasy","Egypt  -  Fantasy"
"Egypt",4,"Game Show","Egypt  -  Game Show"
"Egypt",6,"History","Egypt  -  History"
"Egypt",35,"Horror","Egypt  -  Horror"
"Egypt",1,"Music","Egypt  -  Music"
"Egypt",1,"Musical","Egypt  -  Musical"
"Egypt",48,"Mystery","Egypt  -  Mystery"
"Egypt",6,"Reality TV","Egypt  -  Reality TV"
"Egypt",86,"Romance","Egypt  -  Romance"
"Egypt",29,"Sci Fi","Egypt  -  Sci Fi"
"Egypt",1,"Sport","Egypt  -  Sport"
"Egypt",73,"Thriller","Egypt  -  Thriller"
"Egypt",3,"War","Egypt  -  War"
"Egypt",8,"Western","Egypt  -  Western"
"El Salvador",134,"Action","El Salvador  -  Action"
"El Salvador",1,"Adult","El Salvador  -  Adult"
"El Salvador",108,"Adventure","El Salvador  -  Adventure"
"El Salvador",65,"Animation","El Salvador  -  Animation"
"El Salvador",3,"Biography","El Salvador  -  Biography"
"El Salvador",196,"Comedy","El Salvador  -  Comedy"
"El Salvador",106,"Crime","El Salvador  -  Crime"
"El Salvador",10,"Documentary","El Salvador  -  Documentary"
"El Salvador",280,"Drama","El Salvador  -  Drama"
"El Salvador",16,"Family","El Salvador  -  Family"
"El Salvador",39,"Fantasy","El Salvador  -  Fantasy"
"El Salvador",1,"History","El Salvador  -  History"
"El Salvador",22,"Horror","El Salvador  -  Horror"
"El Salvador",29,"Music","El Salvador  -  Music"
"El Salvador",36,"Mystery","El Salvador  -  Mystery"
"El Salvador",2,"Reality TV","El Salvador  -  Reality TV"
"El Salvador",108,"Romance","El Salvador  -  Romance"
"El Salvador",18,"Sci Fi","El Salvador  -  Sci Fi"
"El Salvador",4,"Sport","El Salvador  -  Sport"
"El Salvador",70,"Thriller","El Salvador  -  Thriller"
"El Salvador",2,"War","El Salvador  -  War"
"El Salvador",3,"Western","El Salvador  -  Western"
"Estonia",183,"Action","Estonia  -  Action"
"Estonia",129,"Adventure","Estonia  -  Adventure"
"Estonia",52,"Animation","Estonia  -  Animation"
"Estonia",17,"Biography","Estonia  -  Biography"
"Estonia",208,"Comedy","Estonia  -  Comedy"
"Estonia",123,"Crime","Estonia  -  Crime"
"Estonia",16,"Documentary","Estonia  -  Documentary"
"Estonia",286,"Drama","Estonia  -  Drama"
"Estonia",29,"Family","Estonia  -  Family"
"Estonia",61,"Fantasy","Estonia  -  Fantasy"
"Estonia",8,"Game Show","Estonia  -  Game Show"
"Estonia",2,"History","Estonia  -  History"
"Estonia",30,"Horror","Estonia  -  Horror"
"Estonia",5,"Music","Estonia  -  Music"
"Estonia",55,"Mystery","Estonia  -  Mystery"
"Estonia",15,"Reality TV","Estonia  -  Reality TV"
