"id","n","label","parent"
"total  -  Crime  -  Hungary",144,"Hungary","total  -  Crime"
"total  -  Drama  -  Hungary",321,"Hungary","total  -  Drama"
"total  -  Fantasy  -  Hungary",55,"Hungary","total  -  Fantasy"
"total  -  Mystery  -  Hungary",48,"Hungary","total  -  Mystery"
"total  -  Romance  -  Hungary",99,"Hungary","total  -  Romance"
"total  -  Thriller  -  Hungary",55,"Hungary","total  -  Thriller"
"total  -  Action  -  Iceland",179,"Iceland","total  -  Action"
"total  -  Adventure  -  Iceland",126,"Iceland","total  -  Adventure"
"total  -  Animation  -  Iceland",52,"Iceland","total  -  Animation"
"total  -  Comedy  -  Iceland",189,"Iceland","total  -  Comedy"
"total  -  Crime  -  Iceland",147,"Iceland","total  -  Crime"
"total  -  Drama  -  Iceland",297,"Iceland","total  -  Drama"
"total  -  Mystery  -  Iceland",48,"Iceland","total  -  Mystery"
"total  -  Romance  -  Iceland",71,"Iceland","total  -  Romance"
"total  -  Sci Fi  -  Iceland",52,"Iceland","total  -  Sci Fi"
"total  -  Thriller  -  Iceland",65,"Iceland","total  -  Thriller"
"total  -  Action  -  India",256,"India","total  -  Action"
"total  -  Adventure  -  India",80,"India","total  -  Adventure"
"total  -  Comedy  -  India",172,"India","total  -  Comedy"
"total  -  Crime  -  India",198,"India","total  -  Crime"
"total  -  Drama  -  India",383,"India","total  -  Drama"
"total  -  Fantasy  -  India",52,"India","total  -  Fantasy"
"total  -  Horror  -  India",29,"India","total  -  Horror"
"total  -  Mystery  -  India",67,"India","total  -  Mystery"
"total  -  Romance  -  India",100,"India","total  -  Romance"
"total  -  Thriller  -  India",72,"India","total  -  Thriller"
"total  -  Action  -  Indonesia",190,"Indonesia","total  -  Action"
"total  -  Adventure  -  Indonesia",92,"Indonesia","total  -  Adventure"
"total  -  Comedy  -  Indonesia",180,"Indonesia","total  -  Comedy"
"total  -  Crime  -  Indonesia",134,"Indonesia","total  -  Crime"
"total  -  Drama  -  Indonesia",346,"Indonesia","total  -  Drama"
"total  -  Fantasy  -  Indonesia",59,"Indonesia","total  -  Fantasy"
"total  -  Horror  -  Indonesia",48,"Indonesia","total  -  Horror"
"total  -  Mystery  -  Indonesia",73,"Indonesia","total  -  Mystery"
"total  -  Romance  -  Indonesia",110,"Indonesia","total  -  Romance"
"total  -  Thriller  -  Indonesia",88,"Indonesia","total  -  Thriller"
"total  -  Action  -  Ireland",128,"Ireland","total  -  Action"
"total  -  Adventure  -  Ireland",129,"Ireland","total  -  Adventure"
"total  -  Animation  -  Ireland",68,"Ireland","total  -  Animation"
"total  -  Biography  -  Ireland",35,"Ireland","total  -  Biography"
"total  -  Comedy  -  Ireland",212,"Ireland","total  -  Comedy"
"total  -  Crime  -  Ireland",121,"Ireland","total  -  Crime"
"total  -  Drama  -  Ireland",299,"Ireland","total  -  Drama"
"total  -  Mystery  -  Ireland",39,"Ireland","total  -  Mystery"
"total  -  Romance  -  Ireland",83,"Ireland","total  -  Romance"
"total  -  Thriller  -  Ireland",56,"Ireland","total  -  Thriller"
"total  -  Action  -  Israel",181,"Israel","total  -  Action"
"total  -  Adventure  -  Israel",116,"Israel","total  -  Adventure"
"total  -  Animation  -  Israel",53,"Israel","total  -  Animation"
"total  -  Comedy  -  Israel",179,"Israel","total  -  Comedy"
"total  -  Crime  -  Israel",123,"Israel","total  -  Crime"
"total  -  Drama  -  Israel",329,"Israel","total  -  Drama"
"total  -  Fantasy  -  Israel",34,"Israel","total  -  Fantasy"
"total  -  Mystery  -  Israel",36,"Israel","total  -  Mystery"
"total  -  Romance  -  Israel",86,"Israel","total  -  Romance"
"total  -  Sci Fi  -  Israel",34,"Israel","total  -  Sci Fi"
"total  -  Thriller  -  Israel",78,"Israel","total  -  Thriller"
"total  -  Action  -  Italy",166,"Italy","total  -  Action"
"total  -  Adventure  -  Italy",91,"Italy","total  -  Adventure"
"total  -  Comedy  -  Italy",174,"Italy","total  -  Comedy"
"total  -  Crime  -  Italy",144,"Italy","total  -  Crime"
"total  -  Drama  -  Italy",356,"Italy","total  -  Drama"
"total  -  Fantasy  -  Italy",50,"Italy","total  -  Fantasy"
"total  -  Mystery  -  Italy",67,"Italy","total  -  Mystery"
"total  -  Romance  -  Italy",94,"Italy","total  -  Romance"
"total  -  Sci Fi  -  Italy",37,"Italy","total  -  Sci Fi"
"total  -  Thriller  -  Italy",61,"Italy","total  -  Thriller"
"total  -  Action  -  Jamaica",213,"Jamaica","total  -  Action"
"total  -  Adventure  -  Jamaica",124,"Jamaica","total  -  Adventure"
"total  -  Animation  -  Jamaica",84,"Jamaica","total  -  Animation"
"total  -  Comedy  -  Jamaica",186,"Jamaica","total  -  Comedy"
"total  -  Crime  -  Jamaica",146,"Jamaica","total  -  Crime"
"total  -  Drama  -  Jamaica",286,"Jamaica","total  -  Drama"
"total  -  Family  -  Jamaica",36,"Jamaica","total  -  Family"
"total  -  Fantasy  -  Jamaica",53,"Jamaica","total  -  Fantasy"
"total  -  Mystery  -  Jamaica",36,"Jamaica","total  -  Mystery"
"total  -  Romance  -  Jamaica",75,"Jamaica","total  -  Romance"
