Preco,Tamanho,CEP,Tipo_Imovel,Status_Imovel,Status_Aluguel,Cidade
740000,43297,SW17 9PB,Apartamento,Antigo,Alugado,Natal
345000,43454,SE12 8UB,Cobertura,Antigo,Vazio,Natal
700000,43361,SE10 9FR,Outro,Novo,Alugado,Natal
255000,43122,HA5 3TJ,Apartamento,Antigo,Alugado,Ipatinga
175000,43143,NW4 2JY,Outro,Antigo,Vazio,Natal
3000000,43222,HA2 0XH,Outro,Antigo,Vazio,Rio de Janeiro
330000,43243,BR5 3PG,Outro,Antigo,Vazio,Ipatinga
330000,43350,BR5 3PG,Outro,Antigo,Vazio,Ipatinga
1400000,43448,SE21 7AF,Outro,Antigo,Vazio,Natal
690000,43180,KT4 8BA,Outro,Antigo,Vazio,Osasco
2982650,43150,N1C 4BW,Apartamento,Novo,Alugado,Natal
435000,43224,SE5 9NG,Apartamento,Antigo,Alugado,Natal
5350000,43293,W1W 7LS,Apartamento,Antigo,Alugado,Natal
967500,43104,N1 8JY,Casa com Quintal,Antigo,Vazio,Natal
650000,43216,BR1 2TE,Casa com Quintal,Antigo,Vazio,Osasco
10700000,42744,WC1N 1PG,Outro,Antigo,Vazio,Natal
665000,43006,EN1 2JD,Casa com Quintal,Antigo,Vazio,Salvador
155200,43014,E17 7FE,Apartamento,Novo,Alugado,Natal
155200,43014,E17 7FE,Apartamento,Novo,Alugado,Natal
155200,43014,E17 7FE,Apartamento,Novo,Alugado,Natal
155200,43014,E17 7FE,Apartamento,Novo,Alugado,Natal
495000,42968,E5 0DD,Apartamento,Antigo,Alugado,Natal
141250,42811,N1 5TQ,Apartamento,Antigo,Alugado,Natal
190000,35944,SW5 9LA,Apartamento,Antigo,Alugado,Natal
1730000,35845,W1S 4LE,Apartamento,Antigo,Alugado,Natal
235000,36097,SW5 0PL,Apartamento,Antigo,Alugado,Natal
169000,36126,W14 0NS,Apartamento,Antigo,Alugado,Natal
150000,38650,E10 6JQ,Apartamento,Antigo,Alugado,Natal
152000,36826,UB3 4BG,Cobertura,Antigo,Vazio,Ipatinga
175000,36707,SW5 9PF,Apartamento,Antigo,Alugado,Natal
275000,36749,SW5 9PF,Apartamento,Antigo,Alugado,Natal
130000,36717,W3 7DA,Apartamento,Antigo,Alugado,Natal
243000,36791,SW5 9PF,Apartamento,Antigo,Alugado,Natal
234000,36691,TW2 5NH,Cobertura,Antigo,Vazio,Belo Horizonte
101000,36783,KT3 3TD,Apartamento,Novo,Alugado,Barueri
498000,36728,SW15 6XP,Cobertura,Antigo,Vazio,Natal
195000,36545,W14 0NS,Apartamento,Antigo,Alugado,Natal
60000,36878,CR7 7BB,Apartamento,Antigo,Alugado,Palmas
165000,36553,W4 2HD,Apartamento,Antigo,Alugado,Natal
109950,36622,N8 7PG,Apartamento,Antigo,Alugado,Natal
70000,36616,SE9 6UD,Cobertura,Antigo,Vazio,Natal
95000,36819,RM8 1UU,Cobertura,Antigo,Vazio,Belo Horizonte
79000,36760,N4 1DE,Apartamento,Antigo,Alugado,Natal
143000,36878,SW2 3LX,Apartamento,Antigo,Alugado,Natal
178000,43453,CR2 9BX,Apartamento,Antigo,Alugado,Ipatinga
370000,43252,SE5 9NG,Apartamento,Antigo,Alugado,Natal
750000,43406,CR3 0DH,Casa com Quintal,Antigo,Vazio,Araraquara
355000,43321,CR0 9LQ,Cobertura,Antigo,Vazio,Fortaleza
508000,43300,SE26 6NR,Apartamento,Antigo,Alugado,Natal
414000,43231,NW6 1PN,Apartamento,Antigo,Alugado,Natal
4150000,43258,W1W 7LS,Apartamento,Antigo,Alugado,Natal
3850000,43258,W1W 7LS,Apartamento,Antigo,Alugado,Natal
383500,43186,N8 7PG,Apartamento,Antigo,Alugado,Natal
435000,43130,N12 8AA,Apartamento,Antigo,Alugado,Natal
383000,43441,N8 7PG,Apartamento,Antigo,Alugado,Natal
750000,43348,BR7 5LE,Casa com Quintal,Antigo,Vazio,Santos
470000,43252,SW12 0NE,Outro,Antigo,Vazio,Natal
156166,43185,E15 1GH,Apartamento,Novo,Alugado,Natal
385000,43299,N8 7PG,Apartamento,Antigo,Alugado,Natal
54000,36152,E17 4LX,Apartamento,Antigo,Alugado,Natal
58000,36138,KT4 8BA,Casa sem Quintal,Antigo,Vazio,Ipatinga
96000,36132,CR0 9LQ,Cobertura,Antigo,Vazio,Fortaleza
250000,35950,UB1 1QF,Cobertura,Antigo,Vazio,Ipatinga
63500,36014,TW8 0PF,Apartamento,Antigo,Alugado,Blumenau
515000,42300,SE4 1ST,Apartamento,Antigo,Alugado,Natal
2250000,42200,SW3 5EL,Outro,Antigo,Vazio,Natal
32000,42200,SE24 9AY,Outro,Antigo,Vazio,Natal
395000,42034,SW15 1HJ,Apartamento,Antigo,Alugado,Natal
2175000,42061,N1 6DL,Outro,Antigo,Vazio,Natal
39000,42013,BR2 9LD,Outro,Antigo,Vazio,Belo Horizonte
1485000,42180,NW3 7EE,Apartamento,Antigo,Alugado,Natal
397500,42261,N8 7PG,Apartamento,Antigo,Alugado,Natal
380000,42250,SE5 9PL,Apartamento,Antigo,Alugado,Natal
234950,42009,SW16 2JS,Apartamento,Antigo,Alugado,Natal
230000,42118,TW8 0HE,Apartamento,Antigo,Alugado,Blumenau
300000,42655,RM2 6DB,Outro,Antigo,Vazio,Canoas
300000,42699,CR0 0LQ,Casa sem Quintal,Antigo,Vazio,Fortaleza
123584,42622,E14 3NW,Apartamento,Novo,Alugado,Natal
70000,42452,HA2 6DJ,Apartamento,Antigo,Alugado,Rio de Janeiro
135000,42509,SW4 8EB,Apartamento,Antigo,Alugado,Natal
200000,42723,SE11 6HR,Apartamento,Antigo,Alugado,Natal
730000,41859,W14 0NS,Apartamento,Antigo,Alugado,Natal
390000,41654,NW8 7NG,Apartamento,Antigo,Alugado,Natal
385000,41730,SW18 3AG,Apartamento,Antigo,Alugado,Natal
367750,41964,N8 7PG,Apartamento,Antigo,Alugado,Natal
318000,41992,N8 7PG,Apartamento,Antigo,Alugado,Natal
183000,41834,SW16 2JS,Apartamento,Antigo,Alugado,Natal
305000,41988,BR3 5NP,Apartamento,Antigo,Alugado,Teresina
74932055,41675,W1S 2TL,Outro,Antigo,Alugado,Natal
160000,41782,CR7 7BB,Apartamento,Antigo,Alugado,Palmas
350500,41918,N8 7PG,Apartamento,Antigo,Alugado,Natal
315000,41691,N8 7PG,Apartamento,Antigo,Alugado,Natal
308000,41929,N8 7PG,Apartamento,Antigo,Alugado,Natal
118750,41801,N1 5TQ,Apartamento,Antigo,Alugado,Natal
369000,43343,BR1 5RN,Casa sem Quintal,Antigo,Vazio,Belo Horizonte
570000,43448,E16 4NP,Cobertura,Antigo,Vazio,Natal
137500,43158,N1 5TQ,Apartamento,Antigo,Alugado,Natal
211000,43321,SW11 3FU,Apartamento,Novo,Alugado,Natal
150000,43389,SW20 8JB,Apartamento,Antigo,Vazio,Natal
392000,41285,IG1 1YN,Cobertura,Antigo,Vazio,Rio de Janeiro
420000,41585,SW5 9PF,Apartamento,Antigo,Alugado,Natal
340000,41358,SE26 4BB,Cobertura,Antigo,Vazio,Natal
450000,41530,TW9 1LX,Apartamento,Antigo,Alugado,Osasco
102000,41626,SE10 0LT,Apartamento,Antigo,Alugado,Natal
240000,41334,N8 7PG,Apartamento,Antigo,Alugado,Natal
250000,41439,N8 7PG,Apartamento,Antigo,Alugado,Natal
280000,41551,N8 7PG,Apartamento,Antigo,Alugado,Natal
547000,41453,SW6 2TZ,Apartamento,Antigo,Alugado,Natal
265000,41600,N8 7PG,Apartamento,Antigo,Alugado,Natal
344138,41540,E5 9UB,Apartamento,Antigo,Alugado,Natal
645615,41361,SW5 9UD,Apartamento,Antigo,Alugado,Natal
420000,41369,E14 5SH,Apartamento,Antigo,Alugado,Natal
268000,41491,N8 7PG,Apartamento,Antigo,Alugado,Natal
245000,41361,E2 0RW,Apartamento,Antigo,Alugado,Natal
278888,41526,N8 7PG,Apartamento,Antigo,Alugado,Natal
1980000,41288,NW1 9XA,Casa sem Quintal,Antigo,Vazio,Natal
695000,41386,NW5 2JD,Apartamento,Antigo,Alugado,Natal
98750,41523,N1 5TQ,Apartamento,Antigo,Alugado,Natal
399950,40724,HA4 7GL,Casa sem Quintal,Antigo,Vazio,Ipatinga
248000,40809,N8 7PG,Apartamento,Antigo,Alugado,Natal
215000,40557,N8 7PG,Apartamento,Antigo,Alugado,Natal
163000,40879,UB7 9FH,Apartamento,Novo,Alugado,Rio de Janeiro
243000,40550,N8 7PG,Apartamento,Antigo,Alugado,Natal
250000,40791,SE23 3TH,Apartamento,Antigo,Alugado,Natal
100000,40878,RM1 2RX,Apartamento,Antigo,Alugado,Canoas
1000000,40602,W1W 7LS,Apartamento,Antigo,Alugado,Natal
225000,40616,SW16 2JS,Apartamento,Antigo,Alugado,Natal
215000,40592,N8 7PG,Apartamento,Antigo,Alugado,Natal
1750000,42361,E3 5NP,Outro,Antigo,Vazio,Natal
210000,42041,E10 6JQ,Apartamento,Antigo,Alugado,Natal
345000,42017,N8 7PG,Apartamento,Antigo,Alugado,Natal
345000,42248,N8 7PG,Apartamento,Antigo,Alugado,Natal
7000,42167,SW17 7HP,Outro,Antigo,Alugado,Natal
12500000,42360,W2 4DR,Outro,Antigo,Vazio,Natal
17250000,42360,W2 4DR,Outro,Antigo,Vazio,Natal
131250,42125,N1 5TQ,Apartamento,Antigo,Alugado,Natal
80500,35044,NW2 3UU,Apartamento,Antigo,Alugado,Natal
190000,35054,W1W 7LS,Apartamento,Antigo,Alugado,Natal
62500,34837,DA16 1AR,Apartamento,Novo,Alugado,Suzano
249995,40452,E5 9UB,Apartamento,Antigo,Alugado,Natal
325000,40218,SW9 9UH,Apartamento,Antigo,Alugado,Natal
242000,40491,N8 7PG,Apartamento,Antigo,Alugado,Natal
247000,40506,N8 7PG,Apartamento,Antigo,Alugado,Natal
1800000,40298,NW1 9XA,Casa sem Quintal,Antigo,Vazio,Natal
245000,40452,N8 7PG,Apartamento,Antigo,Alugado,Natal
245000,40354,N8 7PG,Apartamento,Antigo,Alugado,Natal
842000,43811,BR7 5DS,Casa com Quintal,Antigo,Vazio,Santos
225000,43689,IG3 9JZ,Apartamento,Antigo,Alugado,Rio de Janeiro
1130000,43752,E2 7QG,Apartamento,Antigo,Alugado,Natal
195000,43798,E1W 3RY,Apartamento,Antigo,Alugado,Natal
445000,43798,E11 1PD,Apartamento,Antigo,Alugado,Natal
236500,43739,E15 1JN,Apartamento,Antigo,Alugado,Natal
335000,43759,IG8 0EA,Apartamento,Antigo,Alugado,Santos
293500,43738,RM2 5UF,Apartamento,Antigo,Alugado,Canoas
478000,43691,E1 5LD,Apartamento,Antigo,Alugado,Natal
344700,43720,E15 2QG,Apartamento,Antigo,Alugado,Natal
140000,43707,E5 9HH,Apartamento,Antigo,Alugado,Natal
188000,43689,E9 7PX,Apartamento,Antigo,Alugado,Natal
1400000,43762,N3 3JG,Apartamento,Antigo,Alugado,Natal
503500,43742,E14 0TT,Apartamento,Novo,Alugado,Natal
990000,43822,N1C 4PF,Apartamento,Novo,Alugado,Natal
275000,43770,N12 8JJ,Apartamento,Antigo,Alugado,Natal
355000,43756,HA2 8NQ,Apartamento,Antigo,Alugado,Rio de Janeiro
395000,43774,E17 7AH,Apartamento,Antigo,Alugado,Natal
310000,43777,NW10 8AB,Apartamento,Antigo,Alugado,Natal
590000,43770,W3 8EL,Apartamento,Antigo,Alugado,Natal
750000,43769,E5 8SG,Apartamento,Antigo,Alugado,Natal
520000,43777,W3 9RD,Apartamento,Antigo,Alugado,Natal
640000,43781,N10 2LH,Casa com Quintal,Antigo,Vazio,Natal
530000,43679,TW7 6BS,Apartamento,Antigo,Alugado,Brusque
184000,43756,E14 7AJ,Apartamento,Antigo,Alugado,Natal
487500,43775,N2 8HN,Apartamento,Antigo,Alugado,Natal
275000,43769,HA1 3RT,Apartamento,Antigo,Alugado,Rio de Janeiro
395000,43774,N9 7QD,Cobertura,Antigo,Vazio,Natal
457500,43769,N8 7PN,Apartamento,Antigo,Alugado,Natal
